Ukraine,2010,41875140
Ukraine,2011,42588037
Ukraine,2012,43885307
Ukraine,2013,45159247
Ukraine,2014,45925416
USA,2010,332906620
USA,2011,344168067
USA,2012,351214506
USA,2013,355370549
USA,2014,362606259
China,2010,1454630072
China,2011,1478689683
China,2012,1488474262
China,2013,1489911335
China,2014,1501084099
India,2010,1388800858
India,2011,1425197864
India,2012,1484966347
India,2013,1505149672
India,2014,1541233646
Russia,2010,148958502
Russia,2011,151347244
Russia,2012,156303382
Russia,2013,158401692
Russia,2014,162390185
Brazil,2010,219560276
Brazil,2011,227315068
Brazil,2012,228681416
Brazil,2013,232235063
Brazil,2014,236856576
Japan,2010,130120081
Japan,2011,131135533
Japan,2012,134793873
Japan,2013,135150825
Japan,2014,134588385
Germany,2010,85823997
Germany,2011,85704410
Germany,2012,88433055
Germany,2013,90524682
Germany,2014,92610676
France,2010,68390519
France,2011,70661792
France,2012,71412015
France,2013,73743083
France,2014,73874585
Italy,2010,59898151
Italy,2011,60932352
Italy,2012,62940352
Italy,2013,62831635
Italy,2014,63079125
